comment,sentiment
have the experience non modi gvt before slip back same even worst state curse our foolish citizens for that definitely there will chance for any improvement till our death,-1
since the people are not fools any more unlike the periods when congress just made fool the people through slogans like garibi hatao appeasement block without real upliftment the image the people painted them about pmmodi not need any film,1
biggest fan,0
have seen many prime ministers but dress sense one can match modi the age his dress sense superb today main chowkidaar program his dress simply superb,1
saying crook who supports joshi mean get life dude and kind would down history hypocrites and leeches thankful modi that assumed power just unearth lot these kind,1
love when american siddhu burningwho cares what happened earlier country needed was done yes will benefit modi politically also good policy good for elections also just get over fiberals,1
has harmed democracy big way the words mahatma gandhi the beauty democracy lies fact that provide equal opportunity all but the kind marketing efforts taken modis government last five year unparallel never been done before,1
maharashtra congress releases booklet listing 100 mistakes narendra modi,0
dear dilip latest art how will the modi sarkars likely return power affect other nations also why select groups would want modi occupy the opposition benches sanjeev nayyar,1
may god forgive you shatrughan sinha slams over advani snub via,0
from gujarat and aware this tactic modi even gujarat state election have such channel think was namo gujarat movie also released just before assembly electionsthe name the movie was namo narayan same tacticsv got fooled his tactics,1
modi dooms daywait and watch for the2019resultsbjpsplit vertically and fragment who won modi charisma will loseonly those with personal charisma winthey revolt against modithey defect and form new bjp democraticthen watch the show modi,1
modi govt already transferring through dbt amounts separately each account differently under different schemes all these transfers will clubbed together and this naturally the next reform raga sensationalised did tell whether will this amount separately,1
yes you you dont know but rahul knows that modi spent money ujjawla ujala toilets ayushman modra all done for top industrialists only,1
banana republicthat all modi tenure will known the worsened time the history indian democracy,0
imagine you are modi what will you completely bank this point time,1
what did congress govt last years now modi doing extraordinary works our nation restructuring all over the world speaking about bharat,1
one more achievement modi govt,1
correction mostly indians are stupid modi coming back power balakot strike enough for five more years chor chowkidar rule,1
congratulations modi and all our indian scientists you all have made proud and elevated indias position the world today,1
recently the criteria for winning contracts run airports were changed ensure thar the adani group modi friend gautam adani won the contract for all six airports that were put for bid chorokachowkidar action,1
you people are competent generate resources without disrupting present schemes like modi did stopping modi care crop insurance etc are indicating what you people intend don hang lowlying front,1
shri narendra modis address tv9 bharatvarsh conclave,0
yes because may modi not interested the questions his breakfastlunch dinner menu his kitchen helper price his diamond facial etc etc and has the gut then tell him give interview arnab goswami,-1
parley modi the best communicator them all the hindu parley modi the best communicator them all the hindu comparison prime minister narendra modis strategy with some his predecessors,1
anti national keeping cash home despite king modi saying cashless,0
could have done but choose not emboldened pakistan and china modi has changed the game making india fearless its historic moment,-1
just after congress comes power minimum income line will decided 12000 per month whoever below this line will get money their account that they are above this line gandhi explained,0
2012 congress was power for two full years after why didnt they then basically anything modi does during these months election stunt,1
biopic rama rao titled mahanayakudu ntr has been released andhra pradesh recently during code period why these congressi who complained modi film cec are shamelessly silent are they selective allergic modi neglecting other such incidents,-1
narendra modi launch pslvc45 carrying emisat international satellites from sriharikota april 930 emisat for electromagnetic spectrum measurement international customer satellites are from lithuania spain switzerland usa,0
will decide nda will back power the upa orrisa and west bengal are the states which decides modi will back pmo someone else from the bjp,0
all know how upa government reacted for years when pakistan sponsored terror attacks used happen our country and how modi reacted  how upa government allowed telecast the sensitive 2611 attacks national and expose the planning our security forces,1
you cant digest success under modi you know that any achievement under modi will lead him status undisputed leader,1
the same crook who helped nirav modi,0
